							6566	3446020
7423321	170							
7423151	835							
7422316	1131							
7421185	1356							
7419829	767							
7419062	2698							
7416364	268							
7416096	506							
7415590	578							
7415012	741							
7414271	697							
7413574	671							
7412903	960							
7411943	194							
7411749	4585							
7407164	720							
7406444	695							
7405749	481							
7405268	500							
7404768	759							
7404009	182							
7403827	133							
7403694	2972							
7400722	251							
7400471	1916							
7398555	306							
7398249	1442							
7396807	3775							
7393032	1164							
7391868	2083							
7389785	721							
7389064	730							
7388334	83							
7388251	1748							
7386503	4151							
7382352	1639							
7380713	881							
7379832	1241							
7378591	60							
7378531	153							
7378378	858							
7377520	1050							
7376470	695							
7375775	814							
7374961	1266							
7373695	6194							
7367501	2023							
7365478	100							
7365378	2157							
7363221	1021							
7362200	246							
7361954	1381							
7360573	3122							
7357451	2580							
7354871	1295							
7353576	272							
7353304	760							
7352544	704							
7351840	163							
7351677	538							
7351139	145							
7350994	895							
7350099	667							
7349432	1123							
7348309	580							
7347729	1691							
7346038	8							
7346030	511							
7345519	1237							
7344282	517							
7343765	735							
7343030	1663							
7341367	2303							
7339064	902							
7338162	2							
7338160	161							
7337999	1966							
7336033	535							
7335498	259							
7335239	501							
7334738	226							
7334512	964							
7333548	359							
7333189	150							
7333039	2198							
7330841	771							
7330070	660							
7329410	2474							
7326936	399							
7326537	2294							
7324243	348							
7323895	496							
7323399	115							
7323284	4811							
7318473	457							
7318016	977							
7317039	235							
7316804	60							
7316744	302							
7316442	2671							
7313771	58							
7313713	1107							
7312606	2065							
7310541	369							
7310172	282							
7309890	1143							
7308747	280							
7308467	1376							
7307091	492							
7306599	766							
7305833	2207							
7303626	1091							
7302535	182							
7302353	1049							
7301304	278							
7301026	196							
7300830	1860							
7298970	1040							
7297930	2409							
7295521	281							
7295240	205							
7295035	1225							
7293810	252							
7293558	2449							
7291109	600							
7290509	403							
7290106	163							
7289943	182							
7289761	485							
7289276	248							
7289028	2487							
7286541	319							
7286222	490							
7285732	585							
7285147	3750							
7281397	4107							
7277290	201							
7277089	41							
7277048	554							
7276494	105							
7276389	4500							
7271889	16							
7271873	86							
7271787	751							
7271036	376							
7270660	680							
7269980	550							
7269430	1153							
7268277	72							
7268205	402							
7267803	434							
7267369	240							
7267129	855							
7266274	286							
7265988	680							
7265308	1528							
7263780	143							
7263637	443							
7263194	61							
7263133	255							
7262878	1125							
7261753	43							
7261710	976							
7260734	263							
7260471	274							
7260197	102							
7260095	271							
7259824	2601							
7257223	352							
7256871	1566							
7255305	609							
7254696	177							
7254519	359							
7254160	419							
7253741	31							
7253710	1077							
7252633	172							
7252461	165							
7252296	9							
7252287	2422							
7249865	2278							
7247587	8							
7247579	547							
7247032	401							
7246631	852							
7245779	31							
7245748	514							
7245234	984							
7244250	1697							
7242553	231							
7242322	5436							
7236886	1663							
7235223	1249							
7233974	628							
7233346	772							
7232574	727							
7231847	303							
7231544	1715							
7229829	820							
7229009	4462							
7224547	560							
7223987	55							
7223932	1202							
7222730	169							
7222561	635							
7221926	1177							
7220749	1809							
7218940	1879							
7217061	1415							
7215646	733							
7214913	548							
7214365	18							
7214347	1704							
7212643	771							
7211872	2621							
7209251	2713							
7206538	1261							
7205277	868							
7204409	159							
7204250	343							
7203907	1414							
7202493	396							
7202097	484							
7201613	1439							
7200174	120							
7200054	64							
7199990	1479							
7198511	509							
7198002	651							
7197351	253							
7197098	50							
7197048	197							
7196851	345							
7196506	96							
7196410	175							
7196235	20							
7196215	1026							
7195189	379							
7194810	479							
7194331	3977							
7190354	1670							
7188684	484							
7188200	519							
7187681	24							
7187657	1143							
7186514	5906							
7180608	32							
7180576	331							
7180245	691							
7179554	1093							
7178461	465							
7177996	100							
7177896	366							
7177530	82							
7177448	3578							
7173870	957							
7172913	742							
7172171	70							
7172101	520							
7171581	303							
7171278	367							
7170911	2737							
7168174	718							
7167456	2114							
7165342	1046							
7164296	566							
7163730	3179							
7160551	2283							
7158268	682							
7157586	25							
7157561	707							
7156854	69							
7156785	321							
7156464	592							
7155872	4							
7155868	467							
7155401	862							
7154539	510							
7154029	194							
7153835	187							
7153648	81							
7153567	2741							
7150826	124							
7150702	1396							
7149306	2567							
7146739	1336							
7145403	535							
7144868	1305							
7143563	8304							
7135259	518							
7134741	5484							
7129257	515							
7128742	745							
7127997	98							
7127899	658							
7127241	130							
7127111	23							
7127088	4801							
7122287	391							
7121896	1323							
7120573	203							
7120370	499							
7119871	48							
7119823	712							
7119111	534							
7118577	566							
7118011	1058							
7116953	215							
7116738	440							
7116298	2064							
7114234	1788							
7112446	1419							
7111027	2244							
7108783	277							
7108506	840							
7107666	19							
7107647	856							
7106791	1021							
7105770	1941							
7103829	1142							
7102687	584							
7102103	450							
7101653	1							
7101652	2252							
7099400	76							
7099324	507							
7098817	1234							
7097583	126							
7097457	417							
7097040	452							
7096588	700							
7095888	318							
7095570	112							
7095458	3509							
7091949	1775							
7090174	699							
7089475	654							
7088821	797							
7088024	367							
7087657	59							
7087598	3080							
7084518	866							
7083652	993							
7082659	228							
7082431	936							
7081495	188							
7081307	373							
7080934	595							
7080339	1350							
7078989	1372							
7077617	1579							
7076038	5794							
7070244	375							
7069869	303							
7069566	571							
7068995	742							
7068253	2066							
7066187	1255							
7064932	373							
7064559	2676							
7061883	466							
7061417	776							
7060641	1849							
7058792	38							
7058754	328							
7058426	1625							
7056801	368							
7056433	652							
7055781	641							
7055140	511							
7054629	343							
7054286	32							
7054254	3213							
7051041	759							
7050282	200							
7050082	492							
7049590	250							
7049340	1055							
7048285	729							
7047556	738							
7046818	1827							
7044991	210							
7044781	2680							
7042101	32							
7042069	68							
7042001	159							
7041842	354							
7041488	540							
7040948	376							
7040572	262							
7040310	335							
7039975	1452							
7038523	2444							
7036079	2060							
7034019	1806							
7032213	144							
7032069	531							
7031538	1060							
7030478	467							
7030011	1046							
7028965	1017							
7027948	128							
7027820	2779							
7025041	314							
7024727	209							
7024518	1268							
7023250	708							
7022542	709							
7021833	2641							
7019192	173							
7019019	2357							
7016662	277							
7016385	2353							
7014032	1486							
7012546	4							
7012542	1197							
7011345	211							
7011134	332							
7010802	495							
7010307	2133							
7008174	26							
7008148	1336							
7006812	1236							
7005576	3198							
7002378	1861							
7000517	316							
7000201	1122							
6999079	1674							
6997405	542							
6996863	1668							
6995195	2291							
6992904	2656							
6990248	481							
6989767	1627							
6988140	659							
6987481	235							
6987246	664							
6986582	231							
6986351	49							
6986302	1595							
6984707	1077							
6983630	1762							
6981868	195							
6981673	85							
6981588	1138							
6980450	157							
6980293	816							
6979477	199							
6979278	4604							
6974674	95							
6974579	229							
6974350	1816							
6972534	596							
6971938	2239							
6969699	2135							
6967564	1088							
6966476	1293							
6965183	550							
6964633	55							
6964578	671							
6963907	2700							
6961207	1209							
6959998	698							
6959300	625							
6958675	2875							
6955800	652							
6955148	516							
6954632	503							
6954129	882							
6953247	219							
6953028	1897							
6951131	501							
6950630	569							
6950061	2077							
6947984	563							
6947421	2009							
6945412	982							
6944430	2080							
6942350	866							
6941484	2920							
6938564	756							
6937808	5219							
6932589	28							
6932561	1918							
6930643	1188							
6929455	2123							
6927332	1212							
6926120	2102							
6924018	1635							
6922383	3415							
6918968	930							
6918038	1337							
6916701	856							
6915845	6							
6915839	573							
6915266	160							
6915106	1279							
6913827	2875							
6910952	108							
6910844	1395							
6909449	3768							
6905681	1805							
6903876	172							
6903704	808							
6902896	339							
6902557	204							
6902353	667							
6901686	1052							
6900634	2250							
6898384	564							
6897820	955							
6896865	2836							
6894029	448							
6893581	1795							
6891786	225							
6891561	2481							
6889080	562							
6888518	772							
6887746	192							
6887554	1370							
6886184	440							
6885744	270							
6885474	161							
6885313	246							
6885067	407							
6884660	1814							
6882846	1696							
6881150	2361							
6878789	2712							
6876077	813							
6875264	1664							
6873600	796							
6872804	1184							
6871620	230							
6871390	1233							
6870157	1044							
6869113	300							
6868813	980							
6867833	395							
6867438	5882							
6861556	576							
6860980	410							
6860570	485							
6860085	2777							
6857308	701							
6856607	1273							
6855334	936							
6854398	182							
6854216	837							
6853379	1525							
6851854	270							
6851584	643							
6850941	1863							
6849078	2138							
6846940	3378							
6843562	68							
6843494	309							
6843185	1469							
6841716	1272							
6840444	415							
6840029	1981							
6838048	19							
6838029	694							
6837335	950							
6836385	609							
6835776	81							
6835695	1278							
6834417	687							
6833730	392							
6833338	488							
6832850	1508							
6831342	3415							
6827927	2617							
6825310	711							
6824599	298							
6824301	1410							
6822891	6							
6822885	546							
6822339	521							
6821818	577							
6821241	3078							
6818163	173							
6817990	1056							
6816934	797							
6816137	1348							
6814789	2358							
6812431	36							
6812395	983							
6811412	18							
6811394	475							
6810919	30							
6810889	166							
6810723	787							
6809936	310							
6809626	862							
6808764	620							
6808144	405							
6807739	883							
6806856	1176							
6805680	425							
6805255	1929							
6803326	1294							
6802032	237							
6801795	1415							
6800380	754							
6799626	326							
6799300	1032							
6798268	42							
6798226	2014							
6796212	1451							
6794761	229							
6794532	602							
6793930	442							
6793488	273							
6793215	2474							
6790741	599							
6790142	1431							
6788711	800							
6787911	1053							
6786858	292							
6786566	953							
6785613	155							
6785458	395							
6785063	1097							
6783966	545							
6783421	2667							
6780754	1534							
6779220	738							
6778482	727							
6777755	1420							
6776335	2165							
6774170	601							
6773569	1475							
6772094	496							
6771598	1036							
6770562	1838							
6768724	759							
6767965	281							
6767684	1961							
6765723	502							
6765221	213							
6765008	114							
6764894	129							
6764765	717							
6764048	289							
6763759	74							
6763685	376							
6763309	3277							
6760032	120							
6759912	384							
6759528	3924							
6755604	992							
6754612	1000							
6753612	111							
6753501	1827							
6751674	144							
6751530	720							
6750810	720							
6750090	159							
6749931	18							
6749913	641							
6749272	1040							
6748232	1769							
6746463	1024							
6745439	746							
6744693	591							
6744102	3068							
6741034	90							
6740944	800							
6740144	1563							
6738581	329							
6738252	1128							
6737124	282							
6736842	538							
6736304	1482							
6734822	1758							
6733064	51							
6733013	2717							
6730296	161							
6730135	25							
6730110	8							
6730102	366							
6729736	158							
6729578	251							
6729327	773							
6728554	210							
6728344	190							
6728154	901							
6727253	2031							
6725222	1446							
6723776	6182							
6717594	1067							
6716527	2201							
6714326	234							
6714092	2115							
6711977	493							
6711484	1474							
6710010	214							
6709796	725							
6709071	2515							
6706556	1034							
6705522	301							
6705221	719							
6704502	1532							
6702970	440							
6702530	528							
6702002	299							
6701703	1067							
6700636	1548							
6699088	34							
6699054	76							
6698978	593							
6698385	4914							
6693471	605							
6692866	218							
6692648	441							
6692207	2050							
6690157	50							
6690107	759							
6689348	308							
6689040	371							
6688669	86							
6688583	1708							
6686875	1115							
6685760	58							
6685702	25							
6685677	1347							
6684330	784							
6683546	131							
6683415	971							
6682444	365							
6682079	508							
6681571	2062							
6679509	1445							
6678064	4274							
6673790	180							
6673610	637							
6672973	729							
6672244	243							
6672001	1032							
6670969	245							
6670724	1457							
6669267	1923							
6667344	53							
6667291	978							
6666313	1625							
6664688	1873							
6662815	1435							
6661380	1070							
6660310	626							
6659684	322							
6659362	811							
6658551	862							
6657689	2624							
6655065	687							
6654378	2182							
6652196	525							
6651671	1128							
6650543	30							
6650513	393							
6650120	482							
6649638	2639							
6646999	78							
6646921	1466							
6645455	321							
6645134	1316							
6643818	1843							
6641975	967							
6641008	198							
6640810	2433							
6638377	1042							
6637335	1159							
6636176	16							
6636160	206							
6635954	348							
6635606	401							
6635205	161							
6635044	2050							
6632994	645							
6632349	3375							
6628974	213							
6628761	628							
6628133	596							
6627537	870							
6626667	477							
6626190	929							
6625261	2893							
6622368	1561							
6620807	1686							
6619121	883							
6618238	1789							
6616449	148							
6616301	46							
6616255	2019							
6614236	446							
6613790	2384							
6611406	1232							
6610174	499							
6609675	532							
6609143	2958							
6606185	531							
6605654	113							
6605541	445							
6605096	882							
6604214	333							
6603881	97							
6603784	2456							
6601328	180							
6601148	788							
6600360	463							
6599897	928							
6598969	867							
6598102	1741							
6596361	2525							
6593836	2959							
6590877	499							
6590378	1348							
6589030	2521							
6586509	158							
6586351	180							
6586171	946							
6585225	84							
6585141	424							
6584717	90							
6584627	355							
6584272	199							
6584073	1085							
6582988	1798							
6581190	988							
6580202	338							
6579864	1070							
6578794	1933							
6576861	1141							
6575720	456							
6575264	841							
6574423	1325							
6573098	196							
6572902	747							
6572155	607							
6571548	909							
6570639	3107							
6567532	2737							
6564795	88							
6564707	477							
6564230	507							
6563723	3300							
6560423	585							
6559838	118							
6559720	357							
6559363	232							
6559131	1368							
6557763	897							
6556866	2109							
6554757	1038							
6553719	1638							
6552081	198							
6551883	3620							
6548263	1801							
6546462	109							
6546353	46							
6546307	141							
6546166	2777							
6543389	1101							
6542288	329							
6541959	2479							
6539480	6847							
6532633	460							
6532173	1558							
6530615	564							
6530051	861							
6529190	647							
6528543	893							
6527650	510							
6527140	515							
6526625	3110							
6523515	181							
6523334	603							
6522731	2023							
6520708	650							
6520058	400							
6519658	274							
6519384	394							
6518990	571							
6518419	1010							
6517409	54							
6517355	3998							
6513357	886							
6512471	394							
6512077	1073							
6511004	3463							
6507541	1440							
6506101	3187							
6502914	1739							
6501175	235							
6500940	296							
6500644	182							
6500462	3284							
6497178	512							
6496666	991							
6495675	192							
6495483	898							
6494585	550							
6494035	537							
6493498	2455							
6491043	247							
6490796	3458							
6487338	255							
6487083	406							
6486677	1538							
6485139	2490							
6482649	1499							
6481150	918							
6480232	345							
6479887	1402							
6478485	364							
6478121	41							
6478080	2708							
6475372	814							
6474558	296							
6474262	696							
6473566	1719							
6471847	13							
6471834	2367							
6469467	439							
6469028	1419							
6467609	1318							
6466291	4170							
6462121	1122							
6460999	392							
6460607	83							
6460524	1526							
6458998	2915							
6456083	897							
6455186	1285							
6453901	66							
6453835	393							
6453442	2785							
6450657	49							
6450608	84							
6450524	10							
6450514	1188							
6449326	869							
6448457	2236							
6446221	1841							
6444380	4236							
6440144	2221							
6437923	1472							
6436451	391							
6436060	3561							
6432499	351							
6432148	2147							
6430001	689							
6429312	502							
6428810	246							
6428564	2044							
6426520	356							
6426164	695							
6425469	363							
6425106	844							
6424262	19							
6424243	271							
6423972	720							
6423252	817							
6422435	1529							
6420906	1020							
6419886	487							
6419399	1426							
6417973	3415							
6414558	338							
6414220	959							
6413261	1725							
6411536	172							
6411364	39							
6411325	939							
6410386	1078							
6409308	143							
6409165	1428							
6407737	286							
6407451	957							
6406494	1153							
6405341	268							
6405073	1096							
6403977	1801							
6402176	139							
6402037	804							
6401233	1701							
6399532	1198							
6398334	1123							
6397211	261							
6396950	573							
6396377	793							
6395584	970							
6394614	1138							
6393476	1165							
6392311	268							
6392043	2373							
6389670	705							
6388965	2591							
6386374	567							
6385807	247							
6385560	956							
6384604	186							
6384418	143							
6384275	853							
6383422	1675							
6381747	1032							
6380715	312							
6380403	1613							
6378790	768							
6378022	1405							
6376617	2038							
6374579	270							
6374309	1574							
6372735	291							
6372444	704							
6371740	4181							
6367559	65							
6367494	1219							
6366275	318							
6365957	1978							
6363979	453							
6363526	173							
6363353	942							
6362411	226							
6362185	288							
6361897	41							
6361856	369							
6361487	1313							
6360174	185							
6359989	941							
6359048	123							
6358925	126							
6358799	604							
6358195	826							
6357369	1440							
6355929	983							
6354946	2430							
6352516	990							
6351526	3459							
6348067	542							
6347525	557							
6346968	540							
6346428	894							
6345534	813							
6344721	304							
6344417	2816							
6341601	109							
6341492	3121							
6338371	307							
6338064	723							
6337341	341							
6337000	954							
6336046	370							
6335676	74							
6335602	763							
6334839	1145							
6333694	664							
6333030	377							
6332653	385							
6332268	266							
6332002	1588							
6330414	31							
6330383	2597							
6327786	119							
6327667	932							
6326735	1604							
6325131	353							
6324778	132							
6324646	1289							
6323357	1232							
6322125	851							
6321274	3085							
6318189	1040							
6317149	938							
6316211	331							
6315880	1206							
6314674	2215							
6312459	1308							
6311151	1604							
6309547	1050							
6308497	813							
6307684	1708							
6305976	115							
6305861	2020							
6303841	26							
6303815	857							
6302958	252							
6302706	435							
6302271	3316							
6298955	185							
6298770	1293							
6297477	865							
6296612	1347							
6295265	297							
6294968	724							
6294244	756							
6293488	720							
6292768	85							
6292683	145							
6292538	1028							
6291510	166							
6291344	1848							
6289496	945							
6288551	83							
6288468	255							
6288213	279							
6287934	338							
6287596	375							
6287221	319							
6286902	537							
6286365	395							
6285970	250							
6285720	64							
6285656	2262							
6283394	655							
6282739	577							
6282162	1781							
6280381	1237							
6279144	1197							
6277947	121							
6277826	1048							
6276778	389							
6276389	753							
6275636	28							
6275608	148							
6275460	826							
6274634	527							
6274107	727							
6273380	499							
6272881	126							
6272755	2836							
6269919	15							
6269904	768							
6269136	2359							
6266777	1278							
6265499	2523							
6262976	66							
6262910	265							
6262645	549							
6262096	1456							
6260640	609							
6260031	1610							
6258421	244							
6258177	823							
6257354	792							
6256562	1824							
6254738	260							
6254478	1914							
6252564	477							
6252087	975							
6251112	566							
6250546	54							
6250492	891							
6249601	280							
6249321	763							
6248558	22							
6248536	1881							
6246655	407							
6246248	464							
6245784	298							
6245486	2060							
6243426	994							
6242432	301							
6242131	536							
6241595	6							
6241589	46							
6241543	1864							
6239679	1880							
6237799	3099							
6234700	469							
6234231	615							
6233616	195							
6233421	285							
6233136	600							
6232536	991							
6231545	450							
6231095	391							
6230704	441							
6230263	2359							
6227904	545							
6227359	388							
6226971	3294							
6223677	125							
6223552	2348							
6221204	132							
6221072	1756							
6219316	2232							
6217084	1023							
6216061	964							
6215097	366							
6214731	807							
6213924	444							
6213480	580							
6212900	342							
6212558	2766							
6209792	1905							
6207887	3							
6207884	81							
6207803	318							
6207485	9							
6207476	852							
6206624	1740							
6204884	555							
6204329	1964							
6202365	713							
6201652	516							
6201136	168							
6200968	1302							
6199666	2513							
6197153	633							
6196520	888							
6195632	230							
6195402	417							
6194985	80							
6194905	431							
6194474	149							
6194325	957							
6193368	158							
6193210	1854							
6191356	962							
6190394	321							
6190073	354							
6189719	1577							
6188142	2503							
6185639	1082							
6184557	195							
6184362	3004							
6181358	217							
6181141	1274							
6179867	2246							
6177621	1325							
6176296	32							
6176264	2686							
6173578	195							
6173383	1569							
6171814	332							
6171482	2619							
6168863	2651							
6166212	531							
6165681	186							
6165495	92							
6165403	276							
6165127	304							
6164823	527							
6164296	4682							
6159614	552							
6159062	1403							
6157659	232							
6157427	1484							
6155943	1251							
6154692	555							
6154137	3322							
6150815	249							
6150566	2634							
6147932	1335							
6146597	807							
6145790	1232							
6144558	397							
6144161	93							
6144068	887							
6143181	497							
6142684	1616							
6141068	860							
6140208	1299							
6138909	1697							
6137212	2205							
6135007	3734							
6131273	193							
6131080	312							
6130768	83							
6130685	35							
6130650	5458							
6125192	669							
6124523	281							
6124242	550							
6123692	134							
6123558	3357							
6120201	393							
6119808	3408							
6116400	1406							
6114994	2203							
6112791	292							
6112499	184							
6112315	169							
6112146	1120							
6111026	558							
6110468	2848							
6107620	715							
6106905	226							
6106679	1568							
6105111	46							
6105065	2031							
6103034	3209							
6099825	65							
6099760	208							
6099552	708							
6098844	117							
6098727	3819							
6094908	678							
6094230	833							
6093397	268							
6093129	316							
